ID,ActivityName,MemberName,Points,Timestamp 
201166,BoD Mythic 2,Vajhishar-TarrenMill,20,20/04/19 23:42:21
201166,BoD Mythic 2,Bwomziko-Draenor,20,20/04/19 23:42:21
201166,BoD Mythic 2,Viví-KulTiras,20,20/04/19 23:42:21
201166,BoD Mythic 2,Wahshie-TarrenMill,20,20/04/19 23:42:21
201166,BoD Mythic 2,Trollbat-Dentarg,20,20/04/19 23:42:21
201166,BoD Mythic 2,Arimin-Executus,20,20/04/19 23:42:21
201166,BoD Mythic 2,Sinrog-TarrenMill,20,20/04/19 23:42:21
201166,BoD Mythic 2,Óðin-TarrenMill,20,20/04/19 23:42:21
201166,BoD Mythic 2,Bibixd-Kazzak,20,20/04/19 23:42:21
201166,BoD Mythic 2,Impure-KulTiras,20,20/04/19 23:42:21
201166,BoD Mythic 2,Stensture-Kazzak,20,20/04/19 23:42:21
201166,BoD Mythic 2,Fanatìk-Kazzak,20,20/04/19 23:42:21
201166,BoD Mythic 2,Jerrysmith-KulTiras,20,20/04/19 23:42:21
201166,BoD Mythic 2,Severinå-Kazzak,20,20/04/19 23:42:21
