ID,realm,name,race,level,class,zone,role,presence
1,Burning Legion,Abaddonekk,Tauren,120,Paladin,N/A,Member,Offline
2,Tarren  Mill,Adhàn,Zandalari Troll,120,Shaman,N/A,Member,Offline
3,Draenor,Agrethiel,Troll,120,Mage,N/A,Member,Offline
4,Draenor,Ahld,Zandalari Troll,120,Paladin,N/A,Member,Offline
5,Draenor,Alibabaw,Troll,120,Druid,N/A,Member,Offline
6,Kor'gall,Alixy,Blood Elf,120,Demon Hunter,N/A,Member,Offline
7,Bladefist,Amiphy,Blood Elf,120,Paladin,N/A,Member,Offline
8,Burning Legion,Andrewida,Troll,120,Druid,N/A,Member,Online
9,Bloodfeather,Aniimuzz,Blood Elf,120,Mage,N/A,Member,Offline
10,Tarren  Mill,Annaberry,Blood Elf,120,Priest,N/A,Member,Offline
11,Tarren  Mill,Anny,Undead,120,Death Knight,N/A,Member,Offline
12,Twisting Nether,Antrhodus,Blood Elf,120,Mage,N/A,Member,Offline
13,Executus,Arimin,Blood Elf,120,Hunter,N/A,Member,Offline
14,Alonsus,Armycolze,Blood Elf,120,Paladin,N/A,Member,Offline
15,Neptulon,Arthedian,Orc,120,Warrior,N/A,Member,Offline
16,Tarren  Mill,Ashrelia,Nightborne,96,Priest,N/A,Member,Offline
17,Draenor,Asparukh,Orc,120,Death Knight,N/A,Member,Offline
18,Dentarg,Assterix,Orc,120,Mage,N/A,Member,Offline
19,Dentarg,Asteriix,Orc,120,Hunter,N/A,Member,Offline
20,Dentarg,Asterix,Pandaren,120,Rogue,N/A,Member,Offline
21,Dentarg,Asterixu,Blood Elf,120,Demon Hunter,N/A,Member,Offline
22,Dentarg,Asterixus,Troll,120,Shaman,N/A,Member,Offline
23,Tarren  Mill,Ayzebel,Blood Elf,120,Demon Hunter,N/A,Leader,Offline
24,Draenor,Azibin,Troll,120,Mage,N/A,Member,Online
25,Draenor,Azázel,Undead,120,Warlock,N/A,Member,Offline
26,Burning Legion,Bakkez,Undead,120,Rogue,N/A,Member,Offline
27,Defias Brotherhood,Balthazär,Undead,120,Rogue,N/A,Member,Offline
28,Bloodfeather,Baltrian,Blood Elf,120,Demon Hunter,N/A,Member,Offline
29,Turalyon,Bancoc,Orc,120,Warlock,N/A,Member,Online
30,Draenor,Bastush,Tauren,120,Shaman,N/A,Member,Offline
31,Tarren  Mill,Bcooll,Blood Elf,120,Warrior,N/A,Member,Offline
32,Doomhammer,Bealo,Orc,120,Hunter,N/A,Member,Offline
33,Alonsus,Beargrylls,Goblin,120,Hunter,N/A,Member,Offline
34,Draenor,Bendrin,Blood Elf,120,Paladin,N/A,Member,Offline
35,Draenor,Benuul,Highmountain Tauren,120,Monk,N/A,Member,Offline
36,Draenor,Berf,Undead,120,Monk,N/A,Member,Offline
37,Draenor,Berám,Zandalari Troll,120,Druid,N/A,Member,Offline
38,Kazzak,Bibixd,Orc,120,Rogue,N/A,Member,Offline
39,Chamberof Aspects,Bigoug,Blood Elf,101,Death Knight,N/A,Member,Offline
40,Draenor,Blackcore,Undead,120,Priest,N/A,Member,Offline
41,Kazzak,Blacksoul,Orc,120,Warlock,N/A,Member,Offline
