ID,realm,name,race,level,class,zone,role,presence
1,Burning Legion,Abaddonekk,Tauren,120,Paladin,N/A,Member,Offline
2,Tarren  Mill,Adhàn,Zandalari Troll,120,Shaman,N/A,Member,Offline
3,Draenor,Agrethiel,Troll,120,Mage,N/A,Member,Offline
4,Draenor,Ahld,Zandalari Troll,120,Paladin,N/A,Member,Offline
5,Draenor,Alibabaw,Troll,120,Druid,N/A,Member,Offline
6,Kor'gall,Alixy,Blood Elf,120,Demon Hunter,N/A,Member,Offline
7,Bladefist,Amiphy,Blood Elf,120,Paladin,N/A,Member,Offline
8,Burning Legion,Andrewida,Troll,120,Druid,N/A,Member,Offline
9,Bloodfeather,Aniimuzz,Blood Elf,120,Mage,N/A,Member,Offline
10,Tarren  Mill,Annaberry,Blood Elf,120,Priest,N/A,Member,Offline
11,Twisting Nether,Antrhodus,Blood Elf,120,Mage,N/A,Member,Offline
12,Draenor,Arlò,Orc,120,Warlock,N/A,Member,Offline
13,Alonsus,Armycolze,Blood Elf,120,Paladin,N/A,Member,Offline
14,Neptulon,Arthedian,Orc,120,Warrior,N/A,Member,Offline
15,Draenor,Asparukh,Orc,120,Death Knight,N/A,Member,Offline
16,Dentarg,Assterix,Orc,120,Mage,N/A,Member,Offline
17,Dentarg,Asteriix,Orc,120,Hunter,N/A,Member,Offline
18,Dentarg,Asterix,Pandaren,120,Rogue,N/A,Member,Offline
19,Dentarg,Asterixu,Blood Elf,120,Demon Hunter,N/A,Member,Offline
20,Dentarg,Asterixus,Troll,120,Shaman,N/A,Member,Offline
21,Tarren  Mill,Ayzebel,Blood Elf,120,Demon Hunter,N/A,Member,Offline
22,Draenor,Azibin,Troll,120,Mage,N/A,Member,Offline
23,Draenor,Azázel,Undead,120,Warlock,N/A,Member,Offline
24,Burning Legion,Bakkez,Undead,120,Rogue,N/A,Member,Offline
25,Defias Brotherhood,Balthazär,Undead,120,Rogue,N/A,Member,Offline
26,Turalyon,Bancoc,Orc,120,Warlock,N/A,Member,Offline
27,Ravencrest,Baraqx,Orc,120,Warrior,N/A,Moderator,Offline
28,Draenor,Bastush,Orc,120,Shaman,N/A,Moderator,Offline
29,Tarren  Mill,Bcooll,Blood Elf,120,Warrior,N/A,Member,Offline
30,Doomhammer,Bealo,Orc,120,Hunter,N/A,Member,Offline
31,Alonsus,Beargrylls,Goblin,120,Hunter,N/A,Member,Offline
32,Draenor,Berám,Zandalari Troll,120,Druid,N/A,Member,Offline
33,Kazzak,Bibixd,Orc,120,Rogue,N/A,Member,Offline
34,Chamberof Aspects,Bigoug,Blood Elf,100,Death Knight,N/A,Member,Offline
35,Draenor,Blackcore,Undead,120,Priest,N/A,Member,Offline
36,Draenor,Blodjägare,Blood Elf,120,Demon Hunter,N/A,Member,Offline
37,Darkspear,Bloodeyes,Orc,120,Death Knight,N/A,Member,Offline
38,Tarren  Mill,Bloodspórt,Orc,120,Shaman,N/A,Member,Offline
39,Drak'thul,Bloodywarr,Highmountain Tauren,120,Warrior,N/A,Member,Offline
40,Darksorrow,Bogey,Orc,120,Rogue,N/A,Member,Offline
41,Dragonmaw,Boohy,Tauren,120,Shaman,N/A,Member,Offline
